altitude_km,temperature_k,pression_pa,pression_hpa,co2_ppm,pression_partielle_co2_pa,concentration_co2_molecules_m3
1.169999999999999929e+01,2.166499999999999773e+02,2.033562245802994948e+04,2.033562245802994823e+02,4.200000000000000000e+02,8.540961432372577988e+00,2.855385729670374752e+21
1.180000000000000071e+01,2.166499999999999773e+02,2.001863181147750583e+04,2.001863181147750481e+02,4.200000000000000000e+02,8.407825360820551097e+00,2.810876122429538697e+21
1.190000000000000036e+01,2.166499999999999773e+02,1.970659212171656327e+04,1.970659212171656236e+02,4.200000000000000000e+02,8.276768691120956589e+00,2.767061693878209872e+21
1.200000000000000000e+01,2.166499999999999773e+02,1.939942590993288104e+04,1.939942590993288150e+02,4.200000000000000000e+02,8.147758882171808992e+00,2.723931564983743152e+21
1.209999999999999964e+01,2.166499999999999773e+02,1.909705691216987543e+04,1.909705691216987589e+02,4.200000000000000000e+02,8.020763903111346238e+00,2.681475027295303893e+21
1.219999999999999929e+01,2.166499999999999773e+02,1.879941006024260787e+04,1.879941006024260730e+02,4.200000000000000000e+02,7.895752225301894356e+00,2.639681540263937835e+21
1.230000000000000071e+01,2.166499999999999773e+02,1.850641146295228828e+04,1.850641146295228907e+02,4.200000000000000000e+02,7.772692814439960074e+00,2.598540728604845670e+21
1.240000000000000036e+01,2.166499999999999773e+02,1.821798838759646242e+04,1.821798838759646344e+02,4.200000000000000000e+02,7.651555122790513863e+00,2.558042379701172830e+21
1.250000000000000000e+01,2.166499999999999773e+02,1.793406924177017208e+04,1.793406924177017174e+02,4.200000000000000000e+02,7.532309081543471230e+00,2.518176441048654414e+21
1.259999999999999964e+01,2.166499999999999773e+02,1.765458355545363520e+04,1.765458355545363531e+02,4.200000000000000000e+02,7.414925093290525737e+00,2.478933017740495553e+21
1.269999999999999929e+01,2.166499999999999773e+02,1.737946196338180744e+04,1.737946196338180869e+02,4.200000000000000000e+02,7.299374024620358448e+00,2.440302369991826080e+21
1.280000000000000071e+01,2.166499999999999773e+02,1.710863618769139794e+04,1.710863618769139691e+02,4.200000000000000000e+02,7.185627198830386142e+00,2.402274910703116091e+21
1.290000000000000036e+01,2.166499999999999773e+02,1.684203902084104629e+04,1.684203902084104527e+02,4.200000000000000000e+02,7.073656388753239099e+00,2.364841203061949465e+21
1.300000000000000000e+01,2.166499999999999773e+02,1.657960430880025524e+04,1.657960430880025626e+02,4.200000000000000000e+02,6.963433809696106813e+00,2.327991958182526714e+21
1.309999999999999964e+01,2.166499999999999773e+02,1.632126693450287348e+04,1.632126693450287291e+02,4.200000000000000000e+02,6.854932112491206375e+00,2.291718032782324400e+21
1.319999999999999929e+01,2.166499999999999773e+02,1.606696280156099965e+04,1.606696280156099874e+02,4.200000000000000000e+02,6.748124376655619372e+00,2.256010426895311307e+21
1.330000000000000071e+01,2.166499999999999773e+02,1.581662881823513089e+04,1.581662881823513089e+02,4.200000000000000000e+02,6.642984103658754691e+00,2.220860281621151220e+21
1.340000000000000036e+01,2.166499999999999773e+02,1.557020288165657803e+04,1.557020288165657860e+02,4.200000000000000000e+02,6.539485210295762130e+00,2.186258876909823459e+21
1.350000000000000000e+01,2.166499999999999773e+02,1.532762386229811636e+04,1.532762386229811682e+02,4.200000000000000000e+02,6.437602022165208382e+00,2.152197629381102010e+21
1.359999999999999964e+01,2.166499999999999773e+02,1.508883158868901592e+04,1.508883158868901546e+02,4.200000000000000000e+02,6.337309267249386480e+00,2.118668090178345894e+21
1.369999999999999929e+01,2.166499999999999773e+02,1.485376683237054931e+04,1.485376683237055033e+02,4.200000000000000000e+02,6.238582069595629775e+00,2.085661942856056046e+21
1.380000000000000071e+01,2.166499999999999773e+02,1.462237129308819203e+04,1.462237129308819306e+02,4.200000000000000000e+02,6.141395943097039734e+00,2.053171001300671267e+21
1.390000000000000036e+01,2.166499999999999773e+02,1.439458758421682433e+04,1.439458758421682489e+02,4.200000000000000000e+02,6.045726785371066114e+00,2.021187207684072931e+21
1.400000000000000000e+01,2.166499999999999773e+02,1.417035921841522941e+04,1.417035921841522850e+02,4.200000000000000000e+02,5.951550871734395898e+00,1.989702630449292247e+21
1.409999999999999964e+01,2.166499999999999773e+02,1.394963059350625008e+04,1.394963059350625088e+02,4.200000000000000000e+02,5.858844849272624167e+00,1.958709462327900766e+21
1.419999999999999929e+01,2.166499999999999773e+02,1.373234697857912033e+04,1.373234697857911897e+02,4.200000000000000000e+02,5.767585731003229910e+00,1.928200018388596818e+21
1.430000000000000071e+01,2.166499999999999773e+02,1.351845450031037217e+04,1.351845450031037217e+02,4.200000000000000000e+02,5.677750890130355721e+00,1.898166734116481925e+21
1.440000000000000036e+01,2.166499999999999773e+02,1.330790012949996162e+04,1.330790012949996139e+02,4.200000000000000000e+02,5.589318054389983637e+00,1.868602163522560066e+21
1.450000000000000000e+01,2.166499999999999773e+02,1.310063166781919608e+04,1.310063166781919506e+02,4.200000000000000000e+02,5.502265300484062038e+00,1.839498977282972451e+21
1.459999999999999964e+01,2.166499999999999773e+02,1.289659773476705050e+04,1.289659773476705027e+02,4.200000000000000000e+02,5.416571048602160765e+00,1.810849960907495440e+21
1.469999999999999929e+01,2.166499999999999773e+02,1.269574775483173289e+04,1.269574775483173283e+02,4.200000000000000000e+02,5.332214057029327492e+00,1.782648012936858042e+21
1.480000000000000071e+01,2.166499999999999773e+02,1.249803194485412496e+04,1.249803194485412519e+02,4.200000000000000000e+02,5.249173416838732287e+00,1.754886143168403735e+21
1.490000000000000036e+01,2.166499999999999773e+02,1.230340130158998909e+04,1.230340130158998875e+02,4.200000000000000000e+02,5.167428546667794720e+00,1.727557470909663281e+21
1.500000000000000000e+01,2.166499999999999773e+02,1.211180758946781498e+04,1.211180758946781566e+02,4.200000000000000000e+02,5.086959187576481689e+00,1.700655223259397358e+21
1.509999999999999964e+01,2.166499999999999773e+02,1.192320332853917171e+04,1.192320332853917222e+02,4.200000000000000000e+02,5.007745397986451685e+00,1.674172733415669105e+21
1.519999999999999929e+01,2.166499999999999773e+02,1.173754178261857851e+04,1.173754178261857817e+02,4.200000000000000000e+02,4.929767548699802937e+00,1.648103439010526921e+21
1.530000000000000071e+01,2.166499999999999773e+02,1.155477694760990380e+04,1.155477694760990346e+02,4.200000000000000000e+02,4.853006317996158892e+00,1.622440880470880944e+21
1.540000000000000036e+01,2.166499999999999773e+02,1.137486354001631298e+04,1.137486354001631241e+02,4.200000000000000000e+02,4.777442686806851135e+00,1.597178699405149602e+21
1.550000000000000000e+01,2.166499999999999773e+02,1.119775698563092374e+04,1.119775698563092305e+02,4.200000000000000000e+02,4.703057933964987392e+00,1.572310637015279337e+21
1.559999999999999964e+01,2.166499999999999773e+02,1.102341340840530393e+04,1.102341340840530393e+02,4.200000000000000000e+02,4.629833631530226867e+00,1.547830532533739586e+21
1.569999999999999929e+01,2.166499999999999773e+02,1.085178961949298355e+04,1.085178961949298326e+02,4.200000000000000000e+02,4.557751640187052367e+00,1.523732321685086929e+21
1.580000000000000071e+01,2.166499999999999773e+02,1.068284310646525046e+04,1.068284310646525057e+02,4.200000000000000000e+02,4.486794104715404963e+00,1.500010035171724624e+21
1.590000000000000036e+01,2.166499999999999773e+02,1.051653202269654139e+04,1.051653202269654201e+02,4.200000000000000000e+02,4.416943449532547028e+00,1.476657797183471092e+21
1.600000000000000000e+01,2.166499999999999773e+02,1.035281517691668159e+04,1.035281517691668114e+02,4.200000000000000000e+02,4.348182374305006093e+00,1.453669823930561724e+21
1.610000000000000142e+01,2.166499999999999773e+02,1.019165202292742470e+04,1.019165202292742407e+02,4.200000000000000000e+02,4.280493849629517733e+00,1.431040422199714644e+21
1.619999999999999929e+01,2.166499999999999773e+02,1.003300264948063705e+04,1.003300264948063756e+02,4.200000000000000000e+02,4.213861112781867035e+00,1.408763987932897870e+21
