altitude_geometrique_km,altitude_geopotentielle_km,temperature_k,temperature_c,pression_pa,pression_hpa
4.500000000000000000e+00,4.496816671398429222e+00,2.589206916359102024e+02,-1.422930836408977484e+01,5.775255340990852710e+04,5.775255340990852346e+02
4.599999999999999645e+00,4.596673670403494505e+00,2.582716211423772847e+02,-1.487837885762269252e+01,5.699567667444139806e+04,5.699567667444139261e+02
4.700000000000000178e+00,4.696527529975009330e+00,2.576225710551624388e+02,-1.552742894483753844e+01,5.624687544763671758e+04,5.624687544763671667e+02
4.799999999999999822e+00,4.796378250261020604e+00,2.569735413733033624e+02,-1.617645862669661483e+01,5.550608327910755906e+04,5.550608327910755406e+02
4.900000000000000355e+00,4.896225831409570795e+00,2.563245320958377533e+02,-1.682546790416222393e+01,5.477323410317263188e+04,5.477323410317262642e+02
5.000000000000000000e+00,4.996070273568691711e+00,2.556755432218034798e+02,-1.747445677819649745e+01,5.404826223756017862e+04,5.404826223756017498e+02
5.099999999999999645e+00,5.095911576886403616e+00,2.550265747502383533e+02,-1.812342524976162395e+01,5.333110238211286196e+04,5.333110238211286287e+02
5.200000000000000178e+00,5.195749741510721442e+00,2.543776266801802990e+02,-1.877237331981967827e+01,5.262168961749452865e+04,5.262168961749453047e+02
5.299999999999999822e+00,5.295584767589647690e+00,2.537286990106672704e+02,-1.942130098933270688e+01,5.191995940389784664e+04,5.191995940389784892e+02
5.400000000000000355e+00,5.395416655271176865e+00,2.530797917407373347e+02,-2.007020825926264251e+01,5.122584757975358661e+04,5.122584757975358798e+02
5.500000000000000000e+00,5.495245404703292813e+00,2.524309048694285877e+02,-2.071909513057138952e+01,5.053929036044116947e+04,5.053929036044116856e+02
5.599999999999999645e+00,5.595071016033972278e+00,2.517820383957791535e+02,-2.136796160422082380e+01,4.986022433700029796e+04,4.986022433700029524e+02
5.700000000000000178e+00,5.694893489411180454e+00,2.511331923188272981e+02,-2.201680768117267917e+01,4.918858647484454559e+04,4.918858647484454423e+02
5.799999999999999822e+00,5.794712824982876320e+00,2.504843666376112878e+02,-2.266563336238868942e+01,4.852431411247561482e+04,4.852431411247561641e+02
5.900000000000000355e+00,5.894529022897006421e+00,2.498355613511694457e+02,-2.331443864883053152e+01,4.786734496019929793e+04,4.786734496019929566e+02
6.000000000000000000e+00,5.994342083301507529e+00,2.491867764585401801e+02,-2.396322354145979716e+01,4.721761709884287848e+04,4.721761709884287939e+02
6.099999999999999645e+00,6.094152006344311090e+00,2.485380119587619561e+02,-2.461198804123802120e+01,4.657506897847368964e+04,4.657506897847368919e+02
6.200000000000000178e+00,6.193958792173335226e+00,2.478892678508732956e+02,-2.526073214912668163e+01,4.593963941711895313e+04,4.593963941711895131e+02
6.299999999999999822e+00,6.293762440936491842e+00,2.472405441339127776e+02,-2.590945586608719964e+01,4.531126759948727704e+04,4.531126759948727454e+02
6.400000000000000355e+00,6.393562952781681297e+00,2.465918408069190377e+02,-2.655815919308093953e+01,4.468989307569118682e+04,4.468989307569118523e+02
6.500000000000000000e+00,6.493360327856795067e+00,2.459431578689308253e+02,-2.720684213106915195e+01,4.407545575997134438e+04,4.407545575997134506e+02
6.599999999999999645e+00,6.593154566309717524e+00,2.452944953189868045e+02,-2.785550468101317279e+01,4.346789592942158924e+04,4.346789592942158720e+02
6.700000000000000178e+00,6.692945668288318828e+00,2.446458531561258951e+02,-2.850414684387408215e+01,4.286715422271608259e+04,4.286715422271608418e+02
6.799999999999999822e+00,6.792733633940466476e+00,2.439972313793869603e+02,-2.915276862061301699e+01,4.227317163883715693e+04,4.227317163883715807e+02
6.900000000000000355e+00,6.892518463414012864e+00,2.433486299878088914e+02,-2.980137001219108583e+01,4.168588953580473026e+04,4.168588953580472776e+02
7.000000000000000000e+00,6.992300156856804172e+00,2.427000489804307506e+02,-3.044995101956922667e+01,4.110524962940734258e+04,4.110524962940734213e+02
7.099999999999999645e+00,7.092078714416676810e+00,2.420514883562915713e+02,-3.109851164370840593e+01,4.053119399193404388e+04,4.053119399193404320e+02
7.200000000000000178e+00,7.191854136241457418e+00,2.414029481144305009e+02,-3.174705188556947633e+01,3.996366505090818100e+04,3.996366505090817896e+02
7.299999999999999822e+00,7.291626422478961977e+00,2.407544282538867151e+02,-3.239557174611326218e+01,3.940260558782218868e+04,3.940260558782218823e+02
7.400000000000000355e+00,7.391395573277001141e+00,2.401059287736994747e+02,-3.304407122630050253e+01,3.884795873687375570e+04,3.884795873687375547e+02
7.500000000000000000e+00,7.491161588783372238e+00,2.394574496729080693e+02,-3.369255032709190800e+01,3.829966798370352626e+04,3.829966798370352876e+02
7.599999999999999645e+00,7.590924469145866382e+00,2.388089909505518449e+02,-3.434100904944813237e+01,3.775767716413410380e+04,3.775767716413410540e+02
7.700000000000000178e+00,7.690684214512262251e+00,2.381605526056702615e+02,-3.498944739432971573e+01,3.722193046291035716e+04,3.722193046291035898e+02
7.799999999999999822e+00,7.790440825030332306e+00,2.375121346373028359e+02,-3.563786536269714134e+01,3.669237241244119650e+04,3.669237241244119900e+02
7.900000000000000355e+00,7.890194300847837461e+00,2.368637370444890280e+02,-3.628626295551094927e+01,3.616894789154240425e+04,3.616894789154240470e+02
8.000000000000000000e+00,7.989944642112530637e+00,2.362153598262685250e+02,-3.693464017373145225e+01,3.565160212418146693e+04,3.565160212418146557e+02
8.099999999999999645e+00,8.089691848972154986e+00,2.355670029816809574e+02,-3.758299701831901984e+01,3.514028067822308367e+04,3.514028067822308117e+02
8.199999999999999289e+00,8.189435921574443000e+00,2.349186665097660978e+02,-3.823133349023387950e+01,3.463492946417646453e+04,3.463492946417646294e+02
8.300000000000000711e+00,8.289176860067122732e+00,2.342703504095636902e+02,-3.887964959043628710e+01,3.413549473394383676e+04,3.413549473394383540e+02
8.400000000000000355e+00,8.388914664597907134e+00,2.336220546801135924e+02,-3.952794531988638482e+01,3.364192307957040612e+04,3.364192307957040384e+02
8.500000000000000000e+00,8.488649335314502054e+00,2.329737793204557192e+02,-4.017622067954425802e+01,3.315416143199565704e+04,3.315416143199565795e+02
8.599999999999999645e+00,8.588380872364604457e+00,2.323255243296300421e+02,-4.082447567036993519e+01,3.267215705980597340e+04,3.267215705980597136e+02
8.699999999999999289e+00,8.688109275895904204e+00,2.316772897066766177e+02,-4.147271029332335956e+01,3.219585756798872535e+04,3.219585756798872467e+02
8.800000000000000711e+00,8.787834546056076945e+00,2.310290754506354745e+02,-4.212092454936450281e+01,3.172521089668760033e+04,3.172521089668759942e+02
8.900000000000000355e+00,8.887556682992791224e+00,2.303808815605468396e+02,-4.276911843945313763e+01,3.126016531995954210e+04,3.126016531995954324e+02
9.000000000000000000e+00,8.987275686853710255e+00,2.297327080354508553e+02,-4.341729196454912199e+01,3.080066944453274846e+04,3.080066944453274687e+02
9.099999999999999645e+00,9.086991557786481266e+00,2.290845548743878339e+02,-4.406544512561214333e+01,3.034667220856632775e+04,3.034667220856632639e+02
9.199999999999999289e+00,9.186704295938747933e+00,2.284364220763981166e+02,-4.471357792360186068e+01,2.989812288041124702e+04,2.989812288041124475e+02
9.300000000000000711e+00,9.286413901458137943e+00,2.277883096405220726e+02,-4.536169035947790462e+01,2.945497105737249512e+04,2.945497105737249512e+02
9.400000000000000355e+00,9.386120374492277207e+00,2.271402175658001852e+02,-4.600978243419979208e+01,2.901716666447286116e+04,2.901716666447285888e+02
9.500000000000000000e+00,9.485823715188777427e+00,2.264921458512729373e+02,-4.665785414872703996e+01,2.858465995321801893e+04,2.858465995321801643e+02
9.599999999999999645e+00,9.585523923695243198e+00,2.258440944959808974e+02,-4.730590550401907990e+01,2.815740150036294290e+04,2.815740150036294267e+02
9.699999999999999289e+00,9.685221000159272009e+00,2.251960634989647190e+02,-4.795393650103525829e+01,2.773534220667969930e+04,2.773534220667970089e+02
9.800000000000000711e+00,9.784914944728445363e+00,2.245480528592650842e+02,-4.860194714073489308e+01,2.731843329572676157e+04,2.731843329572675998e+02
9.900000000000000355e+00,9.884605757550341210e+00,2.239000625759227603e+02,-4.924993742407721697e+01,2.690662631261953356e+04,2.690662631261953379e+02
1.000000000000000000e+01,9.984293438772525064e+00,2.232520926479785714e+02,-4.989790735202140581e+01,2.649987312280236438e+04,2.649987312280236438e+02
1.009999999999999964e+01,1.008397798854255711e+01,2.226041430744733702e+02,-5.054585692552660703e+01,2.609812591082185463e+04,2.609812591082185236e+02
1.019999999999999929e+01,1.018365940700798511e+01,2.219562138544480945e+02,-5.119378614555188278e+01,2.570133717910180712e+04,2.570133717910180735e+02
1.030000000000000071e+01,1.028333769431634614e+01,2.213083049869437389e+02,-5.184169501305623839e+01,2.530945974671913427e+04,2.530945974671913348e+02
1.040000000000000036e+01,1.038301285061517198e+01,2.206604164710013549e+02,-5.248958352899862234e+01,2.492244674818162821e+04,2.492244674818162764e+02
1.050000000000000000e+01,1.048268487605198196e+01,2.200125483056621079e+02,-5.313745169433786941e+01,2.454025163220680770e+04,2.454025163220680668e+02
1.059999999999999964e+01,1.058235377077428829e+01,2.193647004899671060e+02,-5.378529951003287124e+01,2.416282816050218025e+04,2.416282816050218116e+02
1.069999999999999929e+01,1.068201953492959433e+01,2.187168730229576283e+02,-5.443312697704234893e+01,2.379013040654705037e+04,2.379013040654704980e+02
1.080000000000000071e+01,1.078168216866538920e+01,2.180690659036749537e+02,-5.508093409632502357e+01,2.342211275437567747e+04,2.342211275437567792e+02
1.090000000000000036e+01,1.088134167212916026e+01,2.174212791311604462e+02,-5.572872086883953102e+01,2.305872989736170712e+04,2.305872989736170666e+02
1.100000000000000000e+01,1.098099804546837888e+01,2.167735127044555270e+02,-5.637648729554445026e+01,2.269993683700411202e+04,2.269993683700411111e+02
1.109999999999999964e+01,1.108065128883051287e+01,2.166499999999999773e+02,-5.650000000000000000e+01,2.234603326793338056e+04,2.234603326793338169e+02
1.119999999999999929e+01,1.118030140236301406e+01,2.166499999999999773e+02,-5.650000000000000000e+01,2.199763931071785555e+04,2.199763931071785521e+02
1.130000000000000071e+01,1.127994838621333429e+01,2.166499999999999773e+02,-5.650000000000000000e+01,2.165468780308651912e+04,2.165468780308652015e+02
1.140000000000000036e+01,1.137959224052890583e+01,2.166499999999999773e+02,-5.650000000000000000e+01,2.131709355883380340e+04,2.131709355883380397e+02
1.150000000000000000e+01,1.147923296545715921e+01,2.166499999999999773e+02,-5.650000000000000000e+01,2.098477272771159915e+04,2.098477272771159789e+02
1.159999999999999964e+01,1.157887056114551072e+01,2.166499999999999773e+02,-5.650000000000000000e+01,2.065764277443691390e+04,2.065764277443691412e+02
1.169999999999999929e+01,1.167850502774137311e+01,2.166499999999999773e+02,-5.650000000000000000e+01,2.033562245802994948e+04,2.033562245802994823e+02
